Title,Rank,Studio,Worldwide,Domestic / %,Domestic / %,Overseas / %,Overseas / %,Year^
Avengers: Endgame,1,BV,"$2,796.3",$858.4,30.7%,"$1,937.9",69.3%,2019
Avatar,2,Fox,"$2,789.7",$760.5,27.3%,"$2,029.2",72.7%,2009^
Titanic,3,Par.,"$2,187.5",$659.4,30.1%,"$1,528.1",69.9%,1997^
Star Wars: The Force Awakens,4,BV,"$2,068.2",$936.7,45.3%,"$1,131.6",54.7%,2015
Avengers: Infinity War,5,BV,"$2,048.4",$678.8,33.1%,"$1,369.5",66.9%,2018
Jurassic World,6,Uni.,"$1,671.7",$652.3,39.0%,"$1,019.4",61.0%,2015
The Lion King (2019),7,BV,"$1,646.5",$541.8,32.9%,"$1,104.7",67.1%,2019
Marvel's The Avengers,8,BV,"$1,518.8",$623.4,41.0%,$895.5,59.0%,2012
Furious 7,9,Uni.,"$1,516.0",$353.0,23.3%,"$1,163.0",76.7%,2015
Avengers: Age of Ultron,10,BV,"$1,405.4",$459.0,32.7%,$946.4,67.3%,2015
Black Panther,11,BV,"$1,346.9",$700.1,52.0%,$646.9,48.0%,2018
Harry Potter and the Deathly Hallows Part 2,12,WB,"$1,341.7",$381.2,28.4%,$960.5,71.6%,2011^
Star Wars: The Last Jedi,13,BV,"$1,332.5",$620.2,46.5%,$712.4,53.5%,2017
Jurassic World: Fallen Kingdom,14,Uni.,"$1,308.5",$417.7,31.9%,$890.7,68.1%,2018
Frozen,15,BV,"$1,276.5",$400.7,31.4%,$875.7,68.6%,2013
Beauty and the Beast (2017),16,BV,"$1,263.5",$504.0,39.9%,$759.5,60.1%,2017
Incredibles 2,17,BV,"$1,242.8",$608.6,49.0%,$634.2,51.0%,2018
The Fate of the Furious,18,Uni.,"$1,236.0",$226.0,18.3%,"$1,010.0",81.7%,2017
Iron Man 3,19,BV,"$1,214.8",$409.0,33.7%,$805.8,66.3%,2013
Minions,20,Uni.,"$1,159.4",$336.0,29.0%,$823.4,71.0%,2015
Captain America: Civil War,21,BV,"$1,153.3",$408.1,35.4%,$745.2,64.6%,2016
Aquaman,22,WB,"$1,148.1",$335.1,29.2%,$813.0,70.8%,2018
Spider-Man: Far from Home,23,Sony,"$1,131.5",$390.4,34.5%,$741.0,65.5%,2019
Captain Marvel,24,BV,"$1,128.3",$426.8,37.8%,$701.4,62.2%,2019
Transformers: Dark of the Moon,25,P/DW,"$1,123.8",$352.4,31.4%,$771.4,68.6%,2011
The Lord of the Rings: The Return of the King,26,NL,"$1,119.9",$377.8,33.7%,$742.1,66.3%,2003^
Skyfall,27,Sony,"$1,108.6",$304.4,27.5%,$804.2,72.5%,2012
Transformers: Age of Extinction,28,Par.,"$1,104.1",$245.4,22.2%,$858.6,77.8%,2014
The Dark Knight Rises,29,WB,"$1,084.9",$448.1,41.3%,$636.8,58.7%,2012
Toy Story 4,30,BV,"$1,068.2",$433.4,40.6%,$634.8,59.4%,2019
Toy Story 3,31,BV,"$1,067.0",$415.0,38.9%,$652.0,61.1%,2010
Pirates of the Caribbean: Dead Man's Chest,32,BV,"$1,066.2",$423.3,39.7%,$642.9,60.3%,2006
Rogue One: A Star Wars Story,33,BV,"$1,056.1",$532.2,50.4%,$523.9,49.6%,2016
Aladdin (2019),34,BV,"$1,050.5",$355.5,33.8%,$695.0,66.2%,2019
