id,title,release_year,locations
611,Golden Gate,1994,University of California Hastings College of the Law
612,Golden Gate,1994,Bush Street (between Grant & Kearny Streets)
613,Golden Gate,1994,Buena Vista Park (Haight Street at Buena Vista)
614,Golden Gate,1994,Golden Gate Bridge
615,Good NeighborSam,1964,Various locations in San Francisco during driving scene
616,Greed,1924,Cliff House (1090 Point Lobos Avenue)
617,Greed,1924,Bush and Sutter Streets
618,Greed,1924,Hayes Street at Laguna
619,Groove,2000,435 23rd Street at Illinois
622,Guess Who's Coming to Dinner,1967,Sutter Street between Powell and Mason
623,Guess Who's Coming to Dinner,1967,San Francisco International Airport
624,Guess Who's Coming to Dinner,1967,Mel's Drive-In (Corner South Van Ness & Mission St.)
625,Guess Who's Coming to Dinner,1967,634 Raycliff Terrace
628,Hard to Hold,1984,"Fairmont Hotel (950 Mason Street, Nob Hill)"
629,Harold and Maude,1971,Conservatory of Flowers (Golden Gate Park)
630,Harold and Maude,1971,Sutro Baths (Point Lobos Avenue)
631,Harold and Maude,1971,Golden Gate Park
632,Heart and Souls,1993,Stockton Tunnel (Stockton Street at Sutter Street)
633,Heart and Souls,1993,2810 Pacific Avenue
634,Heart and Souls,1993,War Memorial Opera House (401 Van Ness Avenue)
635,Heart and Souls,1993,Conservatory of Flowers (Golden Gate Park)
636,Heart Beat,1980,San Francisco Art Institute (800 Chestnut Street)
637,Heart Beat,1980,Washington Square Bar & Grill (1707 Powell)
638,Heart Beat,1980,City Lights Bookstore (261 Columbus)
640,Hemingway & Gelhorn,2011,Muni Metro East (501 Cesar Chavez)
641,Herbie Rides Again,1974,Castagnola's Restaurant (Fisherman's Wharf)
642,Herbie Rides Again,1974,Sheraton Palace Hotel (639 Market Street)
643,Herbie Rides Again,1974,Golden Gate Bridge
644,Hereafter,2010,Hobart Building (582 Market Street)
645,Hereafter,2010,The Final Final (2990 Baker Street)
646,Hereafter,2010,1160 Taylor Street
647,High Anxiety,1977,Hyatt Regency Hotel (5 Embarcadero Center)
648,High Anxiety,1977,"Fort Point (Presidio, Golden Gate National Recreation Area)"
649,High Anxiety,1977,"Conservatory of Flowers, Golden Gate Park"
650,High Crimes,2002,Bank of America Building (555 California Street)
651,High Crimes,2002,391 Pennsylvania Avenue at 19th Street
652,High Crimes,2002,Vesuvio Café (255 Columbus Avenue)
653,High Crimes,2002,Union Square
654,High Crimes,2002,Maiden Lane
655,High Crimes,2002,Condor Club (Columbus and Broadway)
656,High Crimes,2002,Chase H & Q  (1 Bush Street at Sansome)
657,Homeward Bound II: Lost in San Francisco,1996,Pier 39 (Fisherman's Wharf)
659,Jade,1995,Lombard & Hyde Streets
660,How Stella Got Her Groove Back,1998,Marriot Hotel (55 4th Street at Market)
661,Hulk,2003,Telegraph Hill
662,Hulk,2003,Vallejo Street at Sansome
663,Hulk,2003,Golden Gate Bridge
664,Hulk,2003,Treasure Island
665,I Am Michael,2015,Flint & 16th (Castro)
666,I Am Michael,2015,"Grove & Polk, thru Fulton & 6th, Masonic, 28th & 47th"
667,I Am Michael,2015,Ocean Beach @ Balboa
668,I Am Michael,2015,4100 20th St
669,I Am Michael,2015,Harvey Milk Plaza
670,I Am Michael,2015,F Train
671,I Am Michael,2015,Sanchez/Cumberland steps and sidewalks
672,I Remember Mama,1948,"Fairmont Hotel (950 Mason Street, Nob Hill)"
673,I Remember Mama,1948,The Ferry Building
674,I Remember Mama,1948,Grant Avenue (North Beach)
675,Indiana Jones and the Last Crusade,1989,Administration Building (Treasure Island)
676,Innerspace,1987,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)"
677,Innerspace,1987,Telegraph Hill
678,Innerspace,1987,Golden Gate Bridge
679,Interview With The Vampire,1994,Ferry Building
680,Interview With The Vampire,1994,Golden Gate Bridge
681,Interview With The Vampire,1994,100 Market Street at 6th Street
682,Interview With The Vampire,1994,6th Street On-ramp to Highway 280
683,Invasion of the Body Snatchers,1978,Pier 33 (Embarcadero)
684,Jade,1995,Hall of Justice (850 Bryant Street)
685,Invasion of the Body Snatchers,1978,"Department of Public Health (101 Grove Street at Polk, Civic Center)"
686,Invasion of the Body Snatchers,1978,United Nations Plaza (Civic Center)
687,Invasion of the Body Snatchers,1978,Transamerica Building (600 Montgomery Street at Clay)
688,Invasion of the Body Snatchers,1978,San Francisco Drydock (20th and Illinois Streets)
689,Invasion of the Body Snatchers,1978,"Ramada Plaza Hotel Downtown (1231 Market Street, Civic Center)"
690,Invasion of the Body Snatchers,1978,"Postcard Row (Alamo Square, Hayes Valley)"
691,Invasion of the Body Snatchers,1978,Lafayette Park (Pacific Heights)
692,Invasion of the Body Snatchers,1978,Hamlin Hotel (385 Eddy Street)
693,Invasion of the Body Snatchers,1978,City Hall
694,Invasion of the Body Snatchers,1978,Chinatown
695,Invasion of the Body Snatchers,1978,Broadway Tunnel (Russian Hill)
696,Invasion of the Body Snatchers,1978,"Bimbo's 365 Club (1025 Columbus Avenue, North Beach)"
697,Invasion of the Body Snatchers,1978,720 Steiner Street (Hayes Valley)
698,Invasion of the Body Snatchers,1978,32 Napier Lane
699,Invasion of the Body Snatchers,1978,1227 Montgomery Street (Telegraph Hill)
700,I's,2011,1 Post Street
701,It Came From Beneath the Sea,1955,Hunters Point
702,It Came From Beneath the Sea,1955,Chrissy Field
703,It Came From Beneath the Sea,1955,Golden Gate Bridge
705,Jade,1995,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)"
706,Jade,1995,Fior d' Italia (601 Union Street at Stockton)
707,Jade,1995,"Fairmont Hotel (950 Mason Street, Nob Hill)"
708,Jade,1995,Washington Square (North Beach)
709,Jade,1995,War Memorial Opera House (401 Van Ness Avenue)
710,Jade,1995,Sheraton Palace Hotel (639 Market Street)
711,Jade,1995,Palace of Fine Arts
712,Jagged Edge,1985,Golden Gate Bridge
713,Jagged Edge,1985,City Hall
715,Joy Luck Club,1993,Hang Ah Alley (Chinatown)
716,Joy Luck Club,1993,Horace Mann School (3351 23rd Street)
717,Joy Luck Club,1993,901 Union Street
718,Joy Luck Club,1993,610 Rhode Island Street (Potrero Hill)
719,Joy Luck Club,1993,375 Laguna Honda Blvd.
720,Joy Luck Club,1993,180 Manchester Street
722,Junior,1994,2552 Hyde Street
723,Junior,1994,United Nations Plaza (Civic Center)
724,Junior,1994,"Postcard Row (Alamo Square, Hayes Valley)"
725,Junior,1994,Hyatt Fisherman's Wharf (555 Northpoint Street)
726,Junior,1994,"Fairmont Hotel (950 Mason Street, Nob Hill)"
727,Junior,1994,Chinatown Gate
728,Junior,1994,722 Steiner Street
730,Just One Night,2000,Ferry Building
731,Kamikaze Hearts,1986,Market Street Between Noe and Sanchez
732,Knife Fight,2013,Green & Laguna Streets
733,Knife Fight,2013,California & Hyde Streets
734,Knife Fight,2013,City Hall
735,Live Nude Girls Unite,2000,Lusty Lady Bar (North Beach)
736,Looking,2014,222 Mason St. 
737,Looking,2014,Golden Gate Bridge
738,Looking,2014,Presidio Church at 130 Fisher Loop
739,Looking,2014,"Tiburon Hiking Trail, Tiburon, CA"
740,Looking,2014,Fort Funston
741,Looking,2014,Folsom Street Fair on Folsom St.
742,Looking,2014,Orphan Andy's
743,Looking,2014,The Stud
744,Looking,2014,Mr. S Leather
745,Looking,2014,2866 24th St.
746,Looking,2014,24th and Church St. 
747,Looking,2014,Church and Duboce Muni Station
748,Looking,2014,St. Francis Fountain
749,Looking,2014,Muni line N- Judah
750,Looking,2014,Sutro Baths  
751,Looking,2014,Golden Gate Park
752,Looking,2014,Market & Church St.
753,Looking,2014,Willy's Barber Shop
754,Looking,2014,Jawbone at 99 Rhode Island St. 
755,Looking,2014,Urban Flowers
756,Looking,2014,770 Haight St
757,Looking,2014,Eros
758,Looking,2014,Doc's Clock
759,Looking,2014,Starbucks at 333 O'Farrell St.
760,Looking,2014,Union Square
761,Looking,2014,The Café at 2369 Market St.
762,Looking,2014,Castro St. from Market to 18th St.
763,Looking,2014,Bay Bridge
764,Looking,2014,Treasure Island
765,Looking,2014,The Fairmont
766,Looking,2014,1890 Clay St.
767,Looking,2014,2000 Folsom
768,Looking,2014,Mission Arts Center
769,Looking,2014,2413 Harrison St.
770,Looking,2014,Muddy Waters Coffee House
771,Looking,2014,Valencia St. from 16th to 17th
772,Looking,2014,601 Buena Vista West
773,Looking,2014,Dolores Park
774,Looking,2014,Casa Lucas Market at 2934 24th St
775,Looking,2014,Punjab
776,Looking,2014,BART from Civic Center to 24th St.
777,"Looking ""Special""",2016,"Capital Restaurant, 839 Clay Street"
778,"Looking ""Special""",2016,1080 Natoma Street
779,"Looking ""Special""",2016,1246 Folsom Street
780,"Looking ""Special""",2016,"Li Po Lounge, 916 Grant Avenue"
781,"Looking ""Special""",2016,"Encore Karaoke, 1550 California Street"
782,"Looking ""Special""",2016,San Francisco City Hall
783,"Looking ""Special""",2016,"The Stud, 399 9th Street"
784,"Looking ""Special""",2016,Van Ness and Market Street MUNI exit
785,"Looking ""Special""",2016,10th Street between Market & Mission 
786,"Looking ""Special""",2016,"Philz Coffee, 1258 Minnesota Street"
787,"Looking ""Special""",2016,Grant Avenue between Sacramento and Washington
788,"Looking ""Special""",2016,"The End Up, 401 6th Streeet"
789,"Looking ""Special""",2016,"Orphan Andy's, 3991 17th Street"
790,"Looking ""Special""",2016,Castro Street between 17th & 18th
791,"Looking ""Special""",2016,17th & Market Street
792,"Looking ""Special""",2016,Point Lobos Avenue
793,"Looking ""Special""",2016,Bernal Heights Neighborhood
794,"Looking ""Special""",2016,3079 16th Street
795,"Looking ""Special""",2016,Fisherman's Wharf
796,Looking Season 2 ep 202,2015,901 Valencia Street
797,Looking Season 2 ep 202,2015,314 11th Street
798,Looking Season 2 ep 202,2015,1246 Folsom Street
799,Looking Season 2 ep 202,2015,Eddy @ Polk Street
800,Looking Season 2 ep 202,2015,Church @ Duboce Street
801,Looking Season 2 ep 202,2015,100 Church Street
802,Looking Season 2 ep 202,2015,770 Haight Street
803,Looking Season 2 ep 202,2015,651 Brannan Street
804,Looking Season 2 ep 202,2015,1400 16th Street
805,Looking Season 2 ep 202,2015,601 Buena Vista Ave West
806,Looking Season 2 ep 203,2015,"Balboa pool Lot, San Jose Avenue & Havelock St"
807,Looking Season 2 ep 203,2015,"Willy's Barber shop, 3227 22nd Street"
808,Looking Season 2 ep 203,2015,"Mad Dog Bar, 530 Haight Street"
809,Looking Season 2 ep 203,2015,770 Haight Street
810,Looking Season 2 ep 203,2015,Kezar Pavillion
811,Looking Season 2 ep 203,2015,"Boxer Stadium, 166 Havelock Street"
812,Looking Season 2 ep 203,2015,"Mission Rec Center, 2450 Harrison Street"
813,Looking Season 2 ep 203,2015,"Doc's Clock, 2575 Misison Street"
814,Looking Season 2 ep 204,2015,"Esta Noche, 3079 16th Street"
815,Looking Season 2 ep 204,2015,1890 Clay Street
816,Looking Season 2 ep 204,2015,"Larken Street Youth Services, 1138 Sutter Street"
817,Looking Season 2 ep 204,2015,"Daniel's Pharmacy, 943 Geneva Ave."
818,Looking Season 2 ep 204,2015,Castro Street @ 18th street
819,Looking Season 2 ep 204,2015,601 Buena Vista Ave West
820,Looking Season 2 ep 204,2015,"Urban Flowers, 4029 18th Street"
821,Looking Season 2 ep 204,2015,3650 21st Street
822,Looking Season 2 ep 204,2015,"Bi-Rite Creamery, 3692 18th Stret"
823,Looking Season 2 ep 204,2015,"Dolores Park, San Francisco"
824,Looking Season 2 ep 204,2015,970 Geary Street
825,Looking Season 2 ep 204,2015,534 Hyde Street
826,Looking Season 2 ep 205,2015,534 Hyde Street
827,Looking Season 2 ep 205,2015,24th Between Portrero & Alabama
828,Looking Season 2 ep 205,2015,745 Treat Ave
829,Looking Season 2 ep 205,2015,"Always Open Car Wash, 2560 Marin Street"
830,Looking Season 2 ep 205,2015,160 Church Street
831,Looking Season 2 ep 205,2015,1119 Alabama Street
832,Looking Season 2 ep 206,2015,745 Treat Ave.
833,Looking Season 2 ep 206,2015,1890 Clay Street
834,Looking Season 2 ep 206,2015,770 Haight Street
835,Looking Season 2 ep 207,2015,770 Haight Street
836,Looking Season 2 ep 207,2015,Delores Park
837,Looking Season 2 ep 207,2015,"Valenti, Marini, Perata, 4840 Mission Street"
838,Looking Season 2 ep 207,2015,"Sparky's Diner, 242 Church Street"
839,Looking Season 2 ep 208,2015,2450 Harrison Street
840,Looking Season 2 ep 208,2015,1246 Folsom Street
841,Looking Season 2 ep 208,2015,"Citizens Band, 1198 Folsom Street"
842,Looking Season 2 ep 208,2015,1111 California Street
843,Looking Season 2 ep 208,2015,950 Mason Street
844,Looking Season 2 ep 209,2015,"SF Zoo, 2945 Sloat Blvd"
845,Looking Season 2 ep 209,2015,1246 Folsom Street
846,Looking Season 2 ep 209,2015,68 Division Street
847,Looking Season 2 ep 209,2015,8 Octavia Street
848,Looking Season 2 ep 209,2015,1890 Clay Street
849,Looking Season 2 ep 209,2015,"Tonga Room, Fairmont Hotel, 950 Mason Street"
850,Looking Season 2 ep 209,2015,"Muddy Waters, 521 Valencia Street"
851,Looking Season 2 ep 209,2015,"Mission Arts Center, 2450 Harrison Street"
852,Looking Season 2 ep 210,2015,8 Octavia Street
853,Looking Season 2 ep 210,2015,BART Station @ 16th Street & Mission Streets
854,Looking Season 2 ep 210,2015,67 Deming Street
855,Looking Season 2 ep 210,2015,Twin Peaks Park
856,Looking Season 2 ep 210,2015,"Vega Coffee, 1245 Folsom Street"
857,Looking Season 2 ep 210,2015,SF City Hall Polk Street Steps
858,Looking Season 2 ep 210,2015,Mission Street @ 22nd Street
859,Looking Season 2 ep 210,2015,"Willy's Barber shop, 3227 22nd Street"
860,Looking Season 2 ep 210,2015,"Mission Rec Center, 2450 Harrison Street"
861,Love & Taxes,2014,The Marsh Theatre (1062 Valencia Street)
862,Love & Taxes,2014,20 Hill Street
863,Love & Taxes,2014,198 Gough Street
864,Magnum Force,1973,Cost Plus World Market (2552 Taylor Street)
865,Magnum Force,1973,Vermont Street between 20th and 22nd Streets
866,Magnum Force,1973,San Francisco International Airport
867,Magnum Force,1973,San Francisco Drydock (20th and Illinois Streets)
868,Magnum Force,1973,"Pacific Heights Towers (2200 Sacramento Street, Pacific Heights)"
869,Magnum Force,1973,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)"
870,Magnum Force,1973,Hall of Justice (850 Bryant Street)
871,Magnum Force,1973,Golden Gate Bridge
872,Magnum Force,1973,"Fairmont Hotel (950 Mason Street, Nob Hill)"
873,Magnum Force,1973,Embarcadero Freeway
874,Magnum Force,1973,City Hall
875,Magnum Force,1973,Broadway Tunnel (Russian Hill)
876,Magnum Force,1973,280 Freeway at Pennsylvania and Mariposa Streets
877,Magnum Force,1973,2190 Washington Street (Pacific Heights)
878,Magnum Force,1973,18th Street Overpass (Potrero Hill)
879,Marnie,1964,"On Board the SS President Cleveland, docked at Pier 50"
880,Maxie,1985,"Asian Art Museum (200 Larkin Street, Civic Center)"
881,Maxie,1985,Grace Cathedral Episcopal Church (1100 California Street)
882,Maxie,1985,"722 Steiner Street (Postcard Row, Alamo Square, Hayes Valley)"
883,Memoirs of an Invisible Man,1992,St. Elizabeth Apartment House (901 Powell Street at Sacramento)
884,Metro,1997,Bush Street at Jones
885,Midnight Lace,1960,"Fairmont Hotel (950 Mason Street, Nob Hill)"
886,Milk,2008,Duboce Park
887,Milk,2008,City Hall
888,Milk,2008,Chinatown
889,Milk,2008,424 Sansome Street
890,Milk,2008,29th and Dolores Street
891,Milk,2008,El Camino Del Mar
892,Milk,2008,Treasure Island
893,Milk,2008,Market & Castro Street
894,Milk,2008,Marine Fireman's Union Headquarters
895,Milk,2008,Lower Haight Street
896,Pushing Dead,2016,1069 Tennessee Street
897,Milk,2008,Grace Cathedral Episcopal Church (1100 California Street)
898,Milk,2008,Golden Gate Bridge
899,Mission (aka City of Bars),2001,"The 500 Club (500 Guerrero Street, Mission District)"
900,Mission (aka City of Bars),2001,Mission Dolores Park (Mission District)
902,Mother,1996,Golden Gate Bridge
903,Mother,1996,"Fairmont Hotel (950 Mason Street, Nob Hill)"
904,Mrs. Doubtfire,1993,1200 Washington Street at Taylor Street
905,Mrs. Doubtfire,1993,Hancock School (940 Filbert Street)
906,Mrs. Doubtfire,1993,Danilo's Bakery (Green Street & Bannam Place)
907,Mrs. Doubtfire,1993,Chrissy Field
908,Mrs. Doubtfire,1993,520-522A Green Street at Grant Street
909,Mrs. Doubtfire,1993,516 Green Street
910,Mrs. Doubtfire,1993,100 Embarcadero Street
911,"Murder in the First, Season 1",2014,1821 Alabama Street
912,"Murder in the First, Season 1",2014,Hall of Justice (850 Bryant Street)
913,"Murder in the First, Season 1",2014,Cameron House (920 Sacramento Street)
914,"Murder in the First, Season 1",2014,504 Broadway
915,"Murder in the First, Season 1",2014,9 Calhoun Terrace
916,"Murder in the First, Season 1",2014,AT&T Park
917,"Murder in the First, Season 1",2014,Berry Street between 3rd and 4th Streets
918,"Murder in the First, Season 1",2014,Kearny Street between Broadway and Pacific Avenue
919,"Murder in the First, Season 1",2014,731 Grant Avenue
920,"Murder in the First, Season 1",2014,Waverly Alley between Grant and Sacramento Streets
921,"Murder in the First, Season 1",2014,Joice Street at Clay Street
922,"Murder in the First, Season 1",2014,Palace of Fine Arts (3301 Lyon Street)
923,"Murder in the First, Season 1",2014,800 Bay Street
924,"Murder in the First, Season 1",2014,1201 Columbus Avenue
925,"Murder in the First, Season 1",2014,Pier 45
926,"Murder in the First, Season 1",2014,369 Embarcadero
927,"Murder in the First, Season 1",2014,Dolores Park
928,"Murder in the First, Season 1",2014,24th Street between Folsom and Harrison Streets
929,"Murder in the First, Season 1",2014,13 Lucky Street
930,"Murder in the First, Season 1",2014,1541 Grove Street
931,"Murder in the First, Season 1",2014,Ida B. Wells High School (1099 Hayes Street)
932,"Murder in the First, Season 1",2014,Alamo Square Park
933,"Murder in the First, Season 1",2014,50 California Street
934,"Murder in the First, Season 1",2014,373 Columbus Avenue
935,"Murder in the First, Season 1",2014,350 Union Street
936,"Murder in the First, Season 2",2015,Potrero Hill Recreation Center (801 Arkansas Street)
937,"Murder in the First, Season 2",2015,1243 19th Street
938,"Murder in the First, Season 2",2015,372/374 Pennsylvania Avenue 
939,"Murder in the First, Season 2",2015,Stevenson Alley
940,"Murder in the First, Season 2",2015,901 Missouri Street
941,"Murder in the First, Season 2",2015,83 Watchman Way
942,"Murder in the First, Season 2",2015,1059 Texas Street
943,"Murder in the First, Season 2",2015,Sue Bierman Park
944,"Murder in the First, Season 2",2015,Embarcadero Street at Washington Street
945,"Murder in the First, Season 2",2015,Treasure Island
946,"Murder in the First, Season 2",2015,Pier 50
947,"Murder in the First, Season 2",2015,435 Broadway
948,"Murder in the First, Season 2",2015,Columbus Avenue between Washington and Bay Streets
949,"Murder in the First, Season 2",2015,Grant Avenue between Clay and Washington Streets
950,"Murder in the First, Season 2",2015,1400 16th Street
951,"Murder in the First, Season 2",2015,Pennsylvania Avenue at 19th Street
952,"Murder in the First, Season 2",2015,Harriet Street between Bryant and Brannan Streets
953,"Murder in the First, Season 2",2015,Boardman Place between Bryant and Brannan Streets
954,"Murder in the First, Season 3",2016,Golden Gate Park
955,"Murder in the First, Season 3",2016,Civic Center Plaza
956,"Murder in the First, Season 3",2016,500 Grove Street
957,"Murder in the First, Season 3",2016,600 Octavia Street
958,"Murder in the First, Season 3",2016,535 Octavia Street
959,"Murder in the First, Season 3",2016,Patricia's Green
960,"Murder in the First, Season 3",2016,Ivy Street between Laguna and Gough Streets
961,"Murder in the First, Season 3",2016,Linden Alley between Octavia and Gough Streets
962,"Murder in the First, Season 3",2016,Hall of Justice (850 Bryant Street)
963,"Murder in the First, Season 3",2016,Harriet Alley
964,"Murder in the First, Season 3",2016,Howard Street at Steuart Street
965,"Murder in the First, Season 3",2016,Red's Java House (Pier 30)
966,"Murder in the First, Season 3",2016,887 De Haro Street
967,"Murder in the First, Season 3",2016,Pier 96
968,"Murder in the First, Season 3",2016,2633 Vallejo Street
969,Need For Speed,2014,Embarcadero from Broadway to Folsom
970,Need For Speed,2014,California St from Taylor to Powell
971,Need For Speed,2014,Mason St from Pine to Sacramento
972,Need For Speed,2014,Powell St. from Geary to Sacramento
973,Never Die Twice,2001,"Postcard Row (Alamo Square, Hayes Valley)"
976,Nine Months,1995,The Malloch Apartment Building (1360 Montgomery Street)
977,Nine Months,1995,Wasteland Store (1600 Haight Street)
978,Nine Months,1995,Star's Café (55 Golden Gate Avenue at Van Ness)
979,Nine Months,1995,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
980,Nine Months,1995,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)"
981,Nine Months,1995,Pierce Street between Pacific & Green Streets
982,Nine Months,1995,Montgomery & Vallejo Streets
983,Nine Months,1995,Marathon Plaza (303 2nd Street)
984,Nine Months,1995,Jones Street at Bush
985,Nine Months,1995,Jack Kerouac Alley between Columbus & Grant Streets
986,Nine Months,1995,Chrissy Field
987,Nine Months,1995,Belli Building (722 Montgomery Street at Washington)
988,Nine Months,1995,Alamo Square
989,Nine Months,1995,60 Spear Street
990,Nine Months,1995,"101 Henry Adams Place, 4th Floor"
991,Nine to Five,1980,Albert S. Samuels Clock (856 Market Street between Powell and Stockton)
992,Nora Prentiss,1947,Belgravia Apartments (795 Sutter Street at Jones)
994,On the Road,2012,Bay Bridge
995,On the Road,2012,Sacramento & Montgomery Streets
996,On the Road,2012,2017 23rd Street
997,On the Road,2012,Filbert & Leavenworth Streets
998,Pacific Heights,1990,Texas & 19th Streets (Potrero Hill)
999,Pacific Heights,1990,Financial District
1000,Pacific Heights,1990,Chinatown
1001,Pal Joey,1957,"Spreckels Mansion (2080 Washington Street, Pacific Heights)"
1002,Pal Joey,1957,Coit Tower
1003,Pal Joey,1957,Barbary Coast
1005,Parks and Recreation,2014,Filbert from Hyde to Leavenworth
1006,Parks and Recreation,2014,Columbus and Green
1007,Parks and Recreation,2014,Larkin & Fulton
1008,Parks and Recreation,2014,Embarcadero & Market
1009,Patch Adams,1998,Treasure Island
1010,Patch Adams,1998,Sheraton Palace Hotel (639 Market Street)
1011,Patch Adams,1998,Presidio (Golden Gate National Recreation Area)
1012,Patty Hearst,1988,Bank of America (38th Street at Balboa Street)
1013,Patty Hearst,1988,"Postcard Row (Alamo Square, Hayes Valley)"
1014,Petulia,1968,"Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park"
1015,Petulia,1968,"Fairmont Hotel (950 Mason Street, Nob Hill)"
1016,Petulia,1968,Pier 43 1/2
1017,Petulia,1968,Cala Foods (California Street and Hyde)
1018,Petulia,1968,307 Filbert Street
1019,Petulia,1968,2417 Franklin Street
1020,Petulia,1968,"Fort Point (Presidio, Golden Gate National Recreation Area)"
1021,Phenomenon,1996,Treasure Island
1022,"Play it Again, Sam",1972,Balboa at 22nd Avenue
1023,"Play it Again, Sam",1972,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)"
1024,"Play it Again, Sam",1972,Surf Theater (4520 Irving Street)
1025,"Play it Again, Sam",1972,Hyde Street Cable Car
1026,"Play it Again, Sam",1972,Aquatic Park (Jefferson Street)
1027,"Play it Again, Sam",1972,15-17 Fresno Street
1028,Playing Mona Lisa,2000,Conservatory of Flowers (Golden Gate Park)
1029,Pleasure of His Company,1961,Grace Cathedral Episcopal Church (1100 California Street)
1030,Pleasure of His Company,1961,2700 Vallejo Street (Pacific Heights)
1031,Point Blank,1967,"Fort Point (Presidio, Golden Gate National Recreation Area)"
1032,Point Blank,1967,Alcatraz Island
1035,Pushing Dead,2016,"Blind Cat, 3050 24th Street, San Francisco"
1036,Pushing Dead,2016,"Cordova Market, 301 Rolph Street, San Francisco"
1037,Pushing Dead,2016,"915 Naples, San Francisco"
1038,Pushing Dead,2016,"Infield Batting Cages, 1888 Clement Street"
1039,Pushing Dead,2016,42 Walter Street
1040,Pushing Dead,2016,Church Street MUNI Station
1041,Pushing Dead,2016,"Double Happiness Health, 3380 20th Street"
1042,Pushing Dead,2016,"Ele Nino Traiing Cetner, 2920 3rd Street"
1043,Pushing Dead,2016,"Matching Half Café, 1799 McAllister Street"
1044,Pushing Dead,2016,"433 Baker Street, "
1045,Pushing Dead,2016,"Mission Neibhrohood Health Cetner, 240 Shotweel Street"
1046,Pushing Dead,2016,Octavia at Grove Street
1047,Pushing Dead,2016,Koshland Park
1048,Pushing Dead,2016,"Daniel's Pharmacy, 943 Geneva Ave"
1049,Pushing Dead,2016,5th Ave @ Fulton Street in Golden Gate Park
1050,Pushing Dead,2016,"Uva Enoteca, 568 Haight Street"
1051,Pushing Dead,2016,Turk Street between Steiner and Scott Streets
1052,Quicksilver,1986,Pacific Stock Exchange
1053,Quitters,2015,1536 Noe St.
1054,Quitters,2015,24 Hill St.
1055,Quitters,2015,21st St & Sanchez
1056,Quitters,2015,4015 21st St
1057,Quitters,2015,Tank Hill Park
1058,Quitters,2015,Clement St. from 6th to 7th Ave. 
1059,Quitters,2015,Wine Impression
1060,Quitters,2015,Clement St. from 5th and 7th Ave. 
1061,Quitters,2015,Claire Lilienthal Elementary School
1062,Quitters,2015,Yerba Buena Gardens
1063,Quitters,2015,Tonga Room
1064,Quitters,2015,Cal-Mart Supermarket
1065,Quitters,2015,McLaren Lodge
1066,Quitters,2015,Bechelli's Flower Market Café
1067,Quitters,2015,923 Vermont St.
1068,Quitters,2015,Geary from 22nd Ave to Arguello
1070,Red Diaper Baby,2004,"Magic Theater (Fort Mason, Golden Gate National Recreation Area)"
1071,Red Widow,2013,York & 24th St.
1072,Red Widow,2013,2nd St & Howard
1073,Red Widow,2013,Montgomery & Market Streets
1074,Red Widow,2013,Broadway & Taylor
1075,Red Widow,2013,Mason & Sacramento St
1076,Red Widow,2013,Geary & 27th Ave
1077,Red Widow,2013,Geary & 20th Ave
1078,Red Widow,2013,Pioneer Park at Coit Tower
1079,Red Widow,2013,Vallejo Street Garage
1080,Red Widow,2013,California & Davis St
1081,Red Widow,2013,Golden Gate Ave & Jones
1082,Rent,2005,Treasure Island
1084,Romeo Must Die,2000,Chinatown
1085,Romeo Must Die,2000,Embarcadero Street
1086,San Andreas,2015,2nd St. at Townsend St.
1087,San Andreas,2015,Jefferson St. at Powell St.
1088,San Andreas,2015,Grant St. at Bush St.
1089,San Andreas,2015,Vallejo Garage Roof (Vallejo at Powell)
1090,San Andreas,2015,Clay St. at Taylor
1091,San Andreas,2015,Bay St. at Polk
1092,San Andreas,2015,Intersection of Lombard and Hyde
1093,San Andreas,2015,Mission between 3rd and 4th St.
1094,San Andreas,2015,555 California
1095,San Andreas,2015,Broadway and Kearney
1096,San Andreas,2015,Grant between Bush and Market
1097,San Andreas,2015,Coit Tower
1098,San Andreas,2015,TransAmerica Pyramid (600 Montgomery Street)
1099,San Andreas,2015,Washington Square
1100,San Andreas,2015,Battery Spencer
1101,San Andreas,2015,Pier 43
1102,San Andreas,2015,"Vallejo St. Garage, 766 Vallejo St."
1103,San Andreas,2015,Fort Baker
1104,San Andreas,2015,AT&T Stadium
1105,San Andreas,2015,AT&T Stadium
1106,San Andreas,2015,Water work in SF Bay
1107,San Andreas,2015,"Stage Work, 47 Julian St."
1108,San Andreas,2015,Hyde St. at Greenwich and Hyde St. at Lombard
1109,San Andreas,2015,"Asia Star Fantasy, 1126 Grant Ave."
1110,San Francisco,1936,The Barbary Coast
1111,San Francisco,1936,City Hall
1112,Sausalito,2000,The Castro
1113,Sense8,2015,18th Street between Guerrero and Valencia Streets
1114,Sense8,2015,"Atlas Café, 3049 20th St."
1115,Sense8,2015,Clarion Alley between Valencia & Mission St.
1116,Sense8,2015,Harrison & 20th
1117,Sense8,2015,Folsom
1118,Sense8,2015,16th St.
1119,Sense8,2015,S. Van Ness
